timestamp,event_id,event_name,category,src_ip,src_port,dst_ip,dst_port,src_epg,dst_epg,tenant,vrf,contract,subject,action,protocol,bytes,packets,severity,risk_score,fault_code,alert_name,src_hostname,dst_hostname,bd,ap,src_class,dst_class,policy_name,hit_count,last_hit,vzentry
APIC-POL-0001,2026-06-29T06:01:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.21,49300,10.10.20.12,445,Finance-EPG,Servers-EPG,Prod-Tenant,Prod-VRF,Finance-to-Servers,smb-access,permit,TCP,8192,12,info,5,,,ws-finance-21,fs-payroll-01,Finance-EPG-BD,Prod-Tenant-AP,13954,25476,Finance-to-Servers,2,2026-06-29T06:02:00.000Z,smb-access-vzentry
APIC-POL-0002,2026-06-29T06:03:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.22,49301,10.10.20.12,445,Finance-EPG,Servers-EPG,Prod-Tenant,Prod-VRF,Finance-to-Servers,smb-access,permit,TCP,6144,10,info,5,,,ws-finance-22,fs-payroll-01,Finance-EPG-BD,Prod-Tenant-AP,13954,25476,Finance-to-Servers,47,2026-06-29T06:04:00.000Z,smb-access-vzentry
APIC-POL-0003,2026-06-29T06:05:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.23,49302,10.10.20.14,1433,Finance-EPG,DB-EPG,Prod-Tenant,Prod-VRF,Finance-to-DB,mssql-access,permit,TCP,4096,6,info,5,,,ws-finance-23,db-finance-03,Finance-EPG-BD,Prod-Tenant-AP,17904,23604,Finance-to-DB,17,2026-06-29T06:06:00.000Z,mssql-access-vzentry
APIC-POL-0004,2026-06-29T06:07:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.11.31,49303,10.10.20.13,445,HR-EPG,Servers-EPG,Prod-Tenant,Prod-VRF,HR-to-Servers,smb-access,permit,TCP,5120,7,info,4,,,ws-hr-31,fs-hr-02,HR-EPG-BD,Prod-Tenant-AP,13094,37822,HR-to-Servers,30,2026-06-29T06:08:00.000Z,smb-access-vzentry
APIC-POL-0005,2026-06-29T06:09:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.21,49304,10.10.20.10,8443,Finance-EPG,App-EPG,Prod-Tenant,Prod-VRF,Finance-to-App,https-access,permit,TCP,18900,22,info,5,,,ws-finance-21,app-erp-04,Finance-EPG-BD,Prod-Tenant-AP,13954,22300,Finance-to-App,120,2026-06-29T06:10:00.000Z,https-access-vzentry
APIC-POL-0006,2026-06-29T06:11:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.22,49305,10.10.20.10,8443,Finance-EPG,App-EPG,Prod-Tenant,Prod-VRF,Finance-to-App,https-access,permit,TCP,14400,18,info,5,,,ws-finance-22,app-erp-04,Finance-EPG-BD,Prod-Tenant-AP,13954,22300,Finance-to-App,118,2026-06-29T06:12:00.000Z,https-access-vzentry
APIC-POL-0007,2026-06-29T06:13:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.11.31,49306,10.10.20.15,1433,HR-EPG,DB-EPG,Prod-Tenant,Prod-VRF,HR-to-DB,mssql-access,permit,TCP,3584,5,info,4,,,ws-hr-31,db-hr-06,HR-EPG-BD,Prod-Tenant-AP,13094,23604,HR-to-DB,22,2026-06-29T06:14:00.000Z,mssql-access-vzentry
APIC-POL-0008,2026-06-29T06:15:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.11.32,49307,10.10.20.13,445,HR-EPG,Servers-EPG,Prod-Tenant,Prod-VRF,HR-to-Servers,smb-access,permit,TCP,6656,9,info,4,,,ws-hr-32,fs-hr-02,HR-EPG-BD,Prod-Tenant-AP,13094,37822,HR-to-Servers,28,2026-06-29T06:16:00.000Z,smb-access-vzentry
APIC-POL-0009,2026-06-29T06:17:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.12.41,49308,10.10.40.55,22,IT-EPG,Ops-EPG,Prod-Tenant,Prod-VRF,IT-to-Ops,ssh-access,permit,TCP,65536,32,info,6,,,ws-it-41,ops-jump-55,IT-EPG-BD,Prod-Tenant-AP,11234,44321,IT-to-Ops,5,2026-06-29T06:18:00.000Z,ssh-access-vzentry
APIC-POL-0010,2026-06-29T06:19:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.13.51,49309,10.10.20.10,8443,Exec-EPG,App-EPG,Prod-Tenant,Prod-VRF,Exec-to-App,https-access,permit,TCP,22500,25,info,4,,,ws-exec-51,app-erp-04,Exec-EPG-BD,Prod-Tenant-AP,12001,22300,Exec-to-App,60,2026-06-29T06:20:00.000Z,https-access-vzentry
APIC-POL-0011,2026-06-29T06:21:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.12.42,49310,10.10.40.55,22,IT-EPG,Ops-EPG,Prod-Tenant,Prod-VRF,IT-to-Ops,ssh-access,permit,TCP,57344,28,info,6,,,ws-it-42,ops-jump-55,IT-EPG-BD,Prod-Tenant-AP,11234,44321,IT-to-Ops,4,2026-06-29T06:22:00.000Z,ssh-access-vzentry
APIC-POL-0012,2026-06-29T06:23:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.12.41,49311,10.10.20.16,3389,IT-EPG,DC-EPG,Prod-Tenant,Prod-VRF,IT-to-DC,rdp-access,permit,TCP,92160,45,info,7,,,ws-it-41,auth-dc-01,IT-EPG-BD,Prod-Tenant-AP,11234,30011,IT-to-DC,3,2026-06-29T06:24:00.000Z,rdp-access-vzentry
APIC-POL-0013,2026-06-29T07:01:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.20.19,49400,10.10.20.12,445,Backup-EPG,Servers-EPG,Prod-Tenant,Prod-VRF,Backup-to-Servers,backup-access,permit,TCP,524288,320,info,5,,,backup-01,fs-payroll-01,Backup-EPG-BD,Prod-Tenant-AP,19900,25476,Backup-to-Servers,1,2026-06-29T07:02:00.000Z,backup-access-vzentry
APIC-POL-0014,2026-06-29T07:06:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.20.19,49401,10.10.20.14,1433,Backup-EPG,DB-EPG,Prod-Tenant,Prod-VRF,Backup-to-DB,backup-access,permit,TCP,294912,180,info,5,,,backup-01,db-finance-03,Backup-EPG-BD,Prod-Tenant-AP,19900,23604,Backup-to-DB,1,2026-06-29T07:07:00.000Z,backup-access-vzentry
APIC-POL-0015,2026-06-29T16:10:00.000Z,Contract-Deny,PolicyViolation,10.10.10.23,54888,10.10.20.15,1433,Finance-EPG,HR-DB-EPG,Prod-Tenant,Prod-VRF,Finance-to-HR-DB,mssql-deny,deny,TCP,0,4,warning,70,F0467,Finance EPG denied accessing HR DB EPG — contract violation,ws-finance-23,db-hr-06,Finance-EPG-BD,Prod-Tenant-AP,13954,23806,Finance-to-HR-DB,1,2026-06-29T16:11:00.000Z,mssql-deny-vzentry
APIC-POL-0016,2026-06-29T16:12:00.000Z,Contract-Deny,PolicyViolation,10.10.10.21,54899,10.10.20.15,1433,Finance-EPG,HR-DB-EPG,Prod-Tenant,Prod-VRF,Finance-to-HR-DB,mssql-deny,deny,TCP,0,4,warning,68,F0467,Finance EPG denied accessing HR DB EPG — repeat violation,ws-finance-21,db-hr-06,Finance-EPG-BD,Prod-Tenant-AP,13954,23806,Finance-to-HR-DB,2,2026-06-29T16:13:00.000Z,mssql-deny-vzentry
APIC-POL-0017,2026-06-29T10:00:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.26,55000,203.0.113.50,443,Finance-EPG,Untrust-EPG,Prod-Tenant,Prod-VRF,Finance-to-Internet,https-external,permit,TCP,4096,8,info,60,,C2 traffic permitted by default outbound policy — REVIEW REQUIRED,ws-finance-26,c2-server-50,Finance-EPG-BD,Prod-Tenant-AP,13954,65535,Finance-to-Internet,8,2026-06-29T10:01:00.000Z,https-external-vzentry
APIC-POL-0018,2026-06-29T13:20:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.26,55100,203.0.113.50,443,Finance-EPG,Untrust-EPG,Prod-Tenant,Prod-VRF,Finance-to-Internet,https-external,permit,TCP,2097152,1240,critical,96,F0501,CRITICAL: 2MB upload to threat actor IP — exfiltration via permitted HTTPS contract,ws-finance-26,c2-server-50,Finance-EPG-BD,Prod-Tenant-AP,13954,65535,Finance-to-Internet,1,2026-06-29T13:21:00.000Z,https-external-vzentry
APIC-POL-0019,2026-06-29T15:00:00.000Z,Contract-Deny,PolicyViolation,10.10.10.26,49500,10.10.20.16,445,Finance-EPG,DC-EPG,Prod-Tenant,Prod-VRF,Finance-to-DC,admin-share-deny,deny,TCP,0,25,critical,95,F0502,LATERAL MOVEMENT: Finance EPG → DC admin share denied — INCIDENT RESPONSE REQUIRED,ws-finance-26,auth-dc-01,Finance-EPG-BD,Prod-Tenant-AP,13954,30011,Finance-to-DC,1,2026-06-29T15:01:00.000Z,admin-share-deny-vzentry
APIC-POL-0020,2026-06-29T15:05:00.000Z,Contract-Deny,PolicyViolation,10.10.10.26,49501,10.10.20.13,445,Finance-EPG,HR-EPG,Prod-Tenant,Prod-VRF,Finance-to-HR,hr-access-deny,deny,TCP,0,18,critical,90,F0502,LATERAL MOVEMENT: Finance EPG → HR FS admin share denied,ws-finance-26,fs-hr-02,Finance-EPG-BD,Prod-Tenant-AP,13954,37823,Finance-to-HR,1,2026-06-29T15:06:00.000Z,hr-access-deny-vzentry
APIC-POL-0021,2026-06-29T15:10:00.000Z,Contract-Deny,PolicyViolation,10.10.10.26,49502,10.10.20.15,1433,Finance-EPG,HR-DB-EPG,Prod-Tenant,Prod-VRF,Finance-to-HR-DB,hr-db-deny,deny,TCP,0,15,critical,87,F0502,LATERAL MOVEMENT: Finance → HR DB denied,ws-finance-26,db-hr-06,Finance-EPG-BD,Prod-Tenant-AP,13954,23806,Finance-to-HR-DB,1,2026-06-29T15:11:00.000Z,hr-db-deny-vzentry
APIC-POL-0022,2026-06-29T16:00:00.000Z,Contract-Deny,PolicyViolation,10.10.10.200,52000,10.10.20.16,88,Unknown-EPG,DC-EPG,Prod-Tenant,Prod-VRF,Unknown-to-DC,default-deny,deny,TCP,0,4,critical,75,F0505,ROGUE: Unknown endpoint DE:AD:BE:EF:CA:FE attempting DC access — denied by implicit deny,rogue-device,auth-dc-01,Unknown-EPG-BD,Prod-Tenant-AP,0,30011,Unknown-to-DC,1,2026-06-29T16:01:00.000Z,default-deny-vzentry
APIC-POL-0023,2026-06-29T07:15:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.24,49312,10.10.20.12,445,Finance-EPG,Servers-EPG,Prod-Tenant,Prod-VRF,Finance-to-Servers,smb-access,permit,TCP,7168,10,info,5,,,ws-finance-24,fs-payroll-01,Finance-EPG-BD,Prod-Tenant-AP,13954,25476,Finance-to-Servers,34,2026-06-29T07:16:00.000Z,smb-access-vzentry
APIC-POL-0024,2026-06-29T07:20:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.13.52,49313,10.10.20.10,8443,Exec-EPG,App-EPG,Prod-Tenant,Prod-VRF,Exec-to-App,https-access,permit,TCP,17600,20,info,4,,,ws-exec-52,app-erp-04,Exec-EPG-BD,Prod-Tenant-AP,12001,22300,Exec-to-App,55,2026-06-29T07:21:00.000Z,https-access-vzentry
APIC-POL-0025,2026-06-29T08:00:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.25,49314,10.10.20.12,445,Finance-EPG,Servers-EPG,Prod-Tenant,Prod-VRF,Finance-to-Servers,smb-access,permit,TCP,6144,8,info,5,,,ws-finance-25,fs-payroll-01,Finance-EPG-BD,Prod-Tenant-AP,13954,25476,Finance-to-Servers,29,2026-06-29T08:01:00.000Z,smb-access-vzentry
APIC-POL-0026,2026-06-29T08:05:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.11.33,49315,10.10.20.11,8443,HR-EPG,App-EPG,Prod-Tenant,Prod-VRF,HR-to-App,https-access,permit,TCP,16000,20,info,4,,,ws-hr-33,app-crm-05,HR-EPG-BD,Prod-Tenant-AP,13094,22300,HR-to-App,92,2026-06-29T08:06:00.000Z,https-access-vzentry
APIC-POL-0027,2026-06-29T09:00:00.000Z,Fabric-Fault-Detected,FabricHealth,10.10.70.1,0,,0,,,Infra-Tenant,Infra-VRF,,,,info,15,F1296,Fabric link down: node 101 uplink to border leaf,Infra-BD,Infra-AP,,sw-core-01,,-BD,,13954,25476,,1,2026-06-29T09:01:00.000Z,-vzentry
APIC-POL-0028,2026-06-29T09:15:00.000Z,Fabric-Fault-Cleared,FabricHealth,10.10.70.1,0,,0,,,Infra-Tenant,Infra-VRF,,,,info,5,,,Infra-BD,Infra-AP,,sw-core-01,,-BD,,13954,25476,,1,2026-06-29T09:16:00.000Z,-vzentry
APIC-POL-0029,2026-06-29T11:00:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.23,49316,10.10.20.10,8443,Finance-EPG,App-EPG,Prod-Tenant,Prod-VRF,Finance-to-App,https-access,permit,TCP,18400,22,info,5,,,ws-finance-23,app-erp-04,Finance-EPG-BD,Prod-Tenant-AP,13954,22300,Finance-to-App,108,2026-06-29T11:01:00.000Z,https-access-vzentry
APIC-POL-0030,2026-06-29T11:10:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.11.33,49317,10.10.20.13,445,HR-EPG,Servers-EPG,Prod-Tenant,Prod-VRF,HR-to-Servers,smb-access,permit,TCP,5632,8,info,4,,,ws-hr-33,fs-hr-02,HR-EPG-BD,Prod-Tenant-AP,13094,37822,HR-to-Servers,24,2026-06-29T11:11:00.000Z,smb-access-vzentry
APIC-POL-0031,2026-06-29T14:00:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.11.32,49318,10.10.20.13,445,HR-EPG,Servers-EPG,Prod-Tenant,Prod-VRF,HR-to-Servers,smb-access,permit,TCP,6656,9,info,4,,,ws-hr-32,fs-hr-02,HR-EPG-BD,Prod-Tenant-AP,13094,37822,HR-to-Servers,31,2026-06-29T14:01:00.000Z,smb-access-vzentry
APIC-POL-0032,2026-06-29T14:10:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.25,49319,10.10.20.14,1433,Finance-EPG,DB-EPG,Prod-Tenant,Prod-VRF,Finance-to-DB,mssql-access,permit,TCP,5632,8,info,5,,,ws-finance-25,db-finance-03,Finance-EPG-BD,Prod-Tenant-AP,13954,23604,Finance-to-DB,15,2026-06-29T14:11:00.000Z,mssql-access-vzentry
APIC-POL-0033,2026-06-29T17:30:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.10.22,49320,10.10.20.10,8443,Finance-EPG,App-EPG,Prod-Tenant,Prod-VRF,Finance-to-App,https-access,permit,TCP,17000,20,info,5,,,ws-finance-22,app-erp-04,Finance-EPG-BD,Prod-Tenant-AP,13954,22300,Finance-to-App,115,2026-06-29T17:31:00.000Z,https-access-vzentry
APIC-POL-0034,2026-06-29T17:40:00.000Z,Zoning-Rule-Permit,PolicyEnforcement,10.10.11.33,49321,10.10.20.11,8443,HR-EPG,App-EPG,Prod-Tenant,Prod-VRF,HR-to-App,https-access,permit,TCP,14400,20,info,4,,,ws-hr-33,app-crm-05,HR-EPG-BD,Prod-Tenant-AP,13094,22300,HR-to-App,89,2026-06-29T17:41:00.000Z,https-access-vzentry
